District,Gender,Washing hands with soap frequently,Avoiding contact with others (stay in house),Maintaining physical distancing,"Avoiding touching eyes, mouth and nose",Covering mouth and nose with a mask when around others,Covering coughs and sneezes,Cleaning and disinfecting frequently touched surface daily,Monitoring health daily and be alert for symptoms,Respondent reporting incorrect answer,Other (Please specify),Don't know
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,0,1,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Khulna,Male,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Khulna,Female,1,0,1,0,1,0,0,0,0,0,0
Khulna,Female,1,1,1,1,1,0,1,0,0,0,0
Patuakhali,Female,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,1,0,0,0,0,0,0
Patuakhali,Female,1,1,0,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,1,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,1,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,1,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,1,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,1,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0
,,1,0,1,0,1,0,0,0,0,0,0
