District,Gender,Television,Radio,Community radio,Social media,Print media,Health workers ,IEC materials,Village leaders,Local government,NGO,Red crescent,Family members ,Friends,Neighbors,Other (Specify),Mobile phone
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Patuakhali,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Khulna,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Khulna,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Khulna,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Patuakhali,Female,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Female,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Bagerhat,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Bagerhat,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Bagerhat,Male,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
Khulna,Male,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Bagerhat,Female,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
Patuakhali,Female,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Patuakhali,Female,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bagerhat,Male,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bagerhat,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bagerhat,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Khulna,Male,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Patuakhali,Male,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Male,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Khulna,Female,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bagerhat,Male,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Bagerhat,Male,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
Bagerhat,Male,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Patuakhali,Male,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,,,,,,,,,,,,,,,,
Patuakhali,Male,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Bagerhat,Female,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Female,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Patuakhali,Male,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bagerhat,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bagerhat,Male,,,,,,,,,,,,,,,,
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bagerhat,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bagerhat,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bagerhat,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Khulna,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bagerhat,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Patuakhali,Female,,,,,,,,,,,,,,,,
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
Khulna,Male,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Khulna,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Khulna,Female,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Patuakhali,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
Patuakhali,Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Patuakhali,Female,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
