District,Gender,Stay home,Separate myself form other people,Wearing medical mask ,"Avoiding sharing personal household items (dishes, drinking glass, cup, utensils, towels, bedding etc.)",Cleaning all frequently touching surface,Call health care provider for advice,Monitoring symptoms',Seeking medical services,Seeking COVID-19 test,Other (specify),Don't know
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,,,,,,,,,,,
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Khulna,Male,0,0,0,0,0,0,0,0,0,0,1
Patuakhali,Male,1,1,0,1,0,0,0,0,0,0,0
Khulna,Female,1,1,0,0,0,0,0,0,0,0,0
Khulna,Female,0,1,1,0,0,0,1,1,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,1,0,0,0
Patuakhali,Male,0,0,0,0,0,0,0,1,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,1,0,0,0
Patuakhali,Female,0,1,0,0,0,0,0,1,0,0,0
Patuakhali,Female,1,0,0,0,0,1,0,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,1,0,0,0
Patuakhali,Male,0,1,0,0,0,0,0,1,0,0,0
Patuakhali,Male,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Male,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Male,0,0,1,0,0,0,0,1,0,0,0
Patuakhali,Female,0,1,0,0,0,0,0,1,0,0,0
Patuakhali,Male,0,1,0,0,0,0,0,1,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,0,0,0,0
Patuakhali,Female,0,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0,0
Patuakhali,Female,0,0,1,0,0,0,0,1,0,0,0
Patuakhali,Female,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Female,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,0,1,0,0,0
Patuakhali,Female,0,1,1,0,0,0,0,1,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,1,0,0,0
Patuakhali,Male,0,1,0,0,0,0,0,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,0,1,0,0,0
,,1,1,0,0,0,0,0,1,0,0,0
